user_id,user_status,username,password,role,contact_info
11,Student,user_11,password11,customer,user11@example.com
12,Pensioner,user_12,password12,customer,user12@example.com
13,Veteran,user_13,password13,customer,user13@example.com
14,Employee,user_14,password14,customer,user14@example.com
15,Unemployed,user_15,password15,customer,user15@example.com
16,Disabled,user_16,password16,customer,user16@example.com
17,LargeFamily,user_17,password17,customer,user17@example.com
18,Military,user_18,password18,customer,user18@example.com
19,HealthcareWorker,user_19,password19,customer,user19@example.com
20,Teacher,user_20,password20,customer,user20@example.com
21,Pensioner,user_21,password21,customer,user21@example.com
22,Veteran,user_22,password22,customer,user22@example.com
23,Employee,user_23,password23,customer,user23@example.com
24,Unemployed,user_24,password24,customer,user24@example.com
25,Disabled,user_25,password25,customer,user25@example.com
26,LargeFamily,user_26,password26,customer,user26@example.com
27,Military,user_27,password27,customer,user27@example.com
28,HealthcareWorker,user_28,password28,customer,user28@example.com
29,Teacher,user_29,password29,customer,user29@example.com
